onnx_latency,fallback_latency,output_dir,slowest_device,all,input_shape,output_shape,error,device,file_name,file_path,pruning,time_cost,params,IR,MACs,
1.364,2.326,./867090aa-b88a-4e,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.364, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.326}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,quant_bnn_w8.onnx,../dnnModels/quant_bnn_w8.onnx,0,14.8286,81468963623,57281,15633,4639680
1.384,inf,./76a9e772-43d6-47,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.384, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,quant_drf_w8.onnx,../dnnModels/quant_drf_w8.onnx,1,4.64335227,126343,57281,15633,4639680
1.271,2.207,./555c448a-1b6b-4b,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.271, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.207}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,quant_drf_w8.onnx,../dnnModels/quant_drf_w8.onnx,0,15.1137,19463348389,57281,15633,4639680
1.347,inf,./b3d9194a-31ba-42,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.347, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,quant_drf_w8.onnx,../dnnModels/quant_drf_w8.onnx,1,4.566926002,502441,57281,15633,4639680
1.268,2.405,./36d9089e-5746-4b,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.268, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.405}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,quant_drf_w8.onnx,../dnnModels/quant_drf_w8.onnx,0,15.3834,52892303467,57281,15633,4639680
1.386,inf,./f709d0fb-a648-43,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.386, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_l1_s5.onnx,../dnnModels/prune_l1_s5.onnx,1,4.612478495,4165,15841,7857,1283040
1.022,2.356,./c3d9a874-0579-4e,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.022, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.356}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_l1_s5.onnx,../dnnModels/prune_l1_s5.onnx,0,14.410488,605499268,15841,7857,1283040
1.396,inf,./3056b54c-1c24-4e,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.396, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_l1_s5.onnx,../dnnModels/prune_l1_s5.onnx,1,4.647958994,1743,15841,7857,1283040
1.434,2.401,./ff25c1fa-9691-49,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.434, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.401}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_l1_s5.onnx,../dnnModels/prune_l1_s5.onnx,0,14.814309,358596802,15841,7857,1283040
1.347,inf,./ceceafe4-76cd-40,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.347, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_l1_s1.onnx,../dnnModels/prune_l1_s1.onnx,1,4.553694725,6621,47561,14175,3852360
1.279,2.244,./a9f41781-336b-40,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.279, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.244}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,prune_l1_s1.onnx,../dnnModels/prune_l1_s1.onnx,0,14.562616,109848022,47561,14175,3852360
1.357,inf,./ade83ee0-34b4-40,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.357, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_l1_s1.onnx,../dnnModels/prune_l1_s1.onnx,1,4.551255703,2412,47561,14175,3852360
1.282,2.233,./ce4cb37f-2ab4-4b,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.282, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.233}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,prune_l1_s1.onnx,../dnnModels/prune_l1_s1.onnx,0,14.533766,746520996,47561,14175,3852360
1.352,inf,./a1b1f142-f143-40,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.352, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,quant_lsq_w8.onnx,../dnnModels/quant_lsq_w8.onnx,1,4.655064582,824707,53147,15633,4305393
1.446,2.4,./2517666e-b649-4f,R38M20BDTME,"{'R38M20BDTME': {'latency': 1.446, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.4}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,R38M20BDTME,quant_lsq_w8.onnx,../dnnModels/quant_lsq_w8.onnx,0,16.18428349,494934,57281,15633,4639680
1.367,inf,./9aca11a9-fb0f-42,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.367, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': inf}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,quant_lsq_w8.onnx,../dnnModels/quant_lsq_w8.onnx,1,4.910434961,31897,53147,15633,4305393
1.424,2.3,./66f32a94-4a86-47,RF8M21Y9MNR,"{'RF8M21Y9MNR': {'latency': 1.424, 'faster': 'onnx', 'slower': 'fallback', 'slower-latency': 2.3}}","{'input': [1, 1, 9, 9]}","{'output': [1, 1, 9, 9]}",,RF8M21Y9MNR,quant_lsq_w8.onnx,../dnnModels/quant_lsq_w8.onnx,0,16.82311224,937439,57281,15633,4639680
